x_mpch,y_mpch,z_mpch
-165.1584,845.5430,-95.7519
-226.4113,858.6835,-91.1010
-120.8912,822.0639,-89.4188
-168.5311,832.4028,-93.4667
-134.1257,822.4715,-92.2413
407.8482,678.6225,-76.1314
632.1074,620.3667,-64.5417
113.7152,747.0018,-79.1137
-31.3485,781.6771,-80.5306
642.3895,616.2970,-64.9096
633.6454,618.3271,-65.8629
303.1934,698.2929,-75.0609
398.9652,672.7264,-74.8374
301.1023,695.4905,-79.3162
619.8259,616.7383,-65.3293
631.3156,612.7896,-64.8158
-95.3811,787.6174,-85.8560
-314.4493,838.9270,-94.3236
214.9232,705.5301,-74.2223
377.4096,661.1696,-79.9139
647.0945,596.7696,-71.3168
192.3591,701.1208,-77.9940
237.8826,688.7201,-74.2628
-355.5049,824.2611,-90.4931
-282.8827,806.7749,-86.1294
374.3978,651.5090,-74.5235
205.6107,690.5891,-79.9872
625.2437,587.5183,-66.0643
652.4738,579.9544,-70.8951
379.1339,638.5762,-69.1388
354.1926,643.9739,-78.7030
663.1505,572.0957,-68.4424
756.7882,548.3027,-66.7425
581.4277,584.0769,-64.3237
459.1855,610.4145,-70.3558
-242.6838,767.1143,-88.7804
-174.9967,751.6965,-95.3991
159.9603,672.3476,-76.1373
581.0193,575.6509,-66.4320
745.1885,533.7250,-66.8445
350.6026,618.4428,-78.7670
92.6825,670.9240,-82.1991
733.0200,528.7720,-68.1721
663.7285,541.8415,-63.0699
99.9525,663.5326,-84.6974
69.2944,668.6432,-87.3689
93.1584,657.6258,-83.0371
97.6910,656.4413,-85.8798
760.1424,508.8691,-67.0358
328.4038,597.1861,-74.7381
782.9083,500.9733,-68.7617
264.6821,603.4498,-78.4144
681.2150,503.8640,-67.4557
682.9771,501.6278,-66.4884
574.7504,522.6993,-63.5931
693.1560,496.6355,-68.3506
-430.8958,721.3155,-87.8914
567.3987,519.8778,-70.5671
-93.3529,649.9743,-85.5750
600.4728,507.8230,-68.1676
683.4217,482.3661,-69.2012
677.6552,476.1949,-64.0878
482.1557,510.5117,-71.5222
181.5468,566.9017,-75.4423
502.3927,501.0829,-68.9514
636.7672,474.3203,-71.8622
593.6561,479.5737,-70.7071
247.4458,539.4289,-82.2324
492.2050,491.3444,-65.1317
-639.8986,698.8368,-97.8064
-198.5965,608.1096,-86.2597
-631.2227,683.9545,-92.5207
659.8634,449.9889,-62.7623
639.3337,450.7228,-64.2598
-359.1241,628.2168,-87.4632
-467.2647,643.3281,-91.9234
39.2153,541.2369,-88.4548
579.0345,446.3957,-71.4094
-68.1186,557.6313,-88.1657
571.4163,447.0101,-72.0988
652.1630,431.1223,-71.5008
-241.4876,581.8279,-86.8716
-364.2581,601.3340,-94.4724
606.8982,434.0363,-66.5954
645.3131,421.6623,-72.1859
-97.9452,545.0104,-81.5937
622.5793,421.2865,-70.2852
690.4313,408.7538,-65.9099
651.6574,404.3600,-69.9688
687.9219,395.8828,-65.4642
547.3661,416.0333,-71.7970
688.1390,393.4478,-70.7067
776.4423,379.2257,-67.9716
633.1835,397.9781,-62.5406
185.2658,467.0499,-73.1865
-282.0557,527.7754,-98.2382
419.5900,419.3378,-69.5003
208.4610,450.1778,-81.3560
582.7602,392.6159,-68.8299
241.3849,443.3514,-81.9150
609.0516,385.8149,-64.5703
-450.8810,544.4174,-95.8594
-397.2225,528.6911,-90.6357
783.3238,348.6712,-61.3279
-198.5054,490.9045,-87.0300
87.0548,447.2895,-76.9516
-370.6142,511.3707,-98.4701
-46.3784,463.1466,-77.8933
-593.3884,537.0137,-97.2619
104.1367,431.9618,-84.1424
399.7589,389.4660,-75.0389
-637.4740,533.9620,-94.6262
20.1204,440.6775,-87.8689
104.6887,423.3866,-86.1304
338.6567,387.4391,-70.3169
342.7978,386.6427,-68.2149
352.7536,384.4990,-73.3536
336.4184,386.4924,-74.0357
107.3257,416.6875,-83.5455
-342.2095,476.8365,-86.3417
130.9790,411.9309,-75.6804
