id,region,area_ha,modulos_fiscales,clase_tamano,cobertura_forestal_2010_pct,biodiv_evitar_deforestacion,biodiv_evitar_perturbacion,biodiv_restauracion,carbono_evitar_deforestacion_mgc,carbono_evitar_perturbacion_mgc,carbono_restauracion_mgc,biodiv_evitar_deforestacion_por_ha,biodiv_evitar_perturbacion_por_ha,biodiv_restauracion_por_ha,carbono_evitar_deforestacion_mgc_por_ha,carbono_evitar_perturbacion_mgc_por_ha,carbono_restauracion_mgc_por_ha
153,Paragominas,2549.47,46.354,grande,99.7654,21.1665,1.89326,0,6093.43,250.551,0,0.00830232,0.000742608,0,2.39007,0.0982755,0
154,Paragominas,11.3295,0.205991,pequena,0,0,0,0,0,0.0131264,0,0,0,0,0,0.0011586,0
155,Paragominas,33.3513,0.606388,pequena,0,0,0,0.458333,0,0,609.483,0,0,0.0137426,0,0,18.2746
156,Paragominas,303.232,5.51332,mediana,21.3623,146.849,0.0220518,179.693,31893.9,1.83045,45329.9,0.48428,7.27226e-05,0.592593,105.18,0.00603646,149.489
157,Paragominas,1794.25,32.6227,grande,97.6205,7.16104,0.223448,0,6384.08,57.1088,0,0.00399112,0.000124536,0,3.55809,0.0318289,0
158,Paragominas,1480.03,26.9096,grande,82.4681,165.548,0,0.369659,51482.8,0,209.541,0.111855,0,0.000249765,34.785,0,0.141579
159,Paragominas,84.0127,1.5275,pequena,0.106228,0.0120618,0,1.71843,0,0.966904,1196.69,0.000143571,0,0.0204544,0,0.011509,14.2441
160,Paragominas,236.077,4.2923,mediana,20.2617,26.405,0,51.8315,12834.8,23.111,30578.8,0.111849,0,0.219553,54.3669,0.097896,129.529
161,Paragominas,24.5777,0.446866,pequena,5.08524,0.0262629,0.000366515,0.0136502,3.81428,0,0,0.00106857,1.49125e-05,0.000555389,0.155193,0,0
162,Paragominas,0.993095,0.0180563,pequena,0,0,0,0,0,0,0,0,0,0,0,0,0
163,Paragominas,1.54547,0.0280994,pequena,0,0,0,0,0,0,0,0,0,0,0,0,0
164,Paragominas,14.5924,0.265316,pequena,0,0,0,0,0,0,0,0,0,0,0,0,0
165,Paragominas,13.5197,0.245812,pequena,0,0,0,0,0,0,0,0,0,0,0,0,0
166,Paragominas,9.67073,0.175831,pequena,12.9234,0.596793,0,0.416914,474.068,0,431.843,0.0617113,0,0.043111,49.021,0,44.6547
167,Paragominas,296.743,5.39532,mediana,93.858,96.176,1416.12,0,46292.1,109532,0,0.324106,4.7722,0,156.001,369.113,0
168,Paragominas,1893.75,34.4319,grande,76.1576,133.74,4006.65,0,27541.3,281756,0,0.0706216,2.11572,0,14.5432,148.782,0
169,Paragominas,46.4431,0.84442,pequena,23.8466,15.3609,40.0589,2.07162,6690.3,2141.15,2712.12,0.330748,0.862538,0.0446056,144.054,46.1026,58.3966
170,Paragominas,106.899,1.94363,pequena,0,0,0,0,0,0,0,0,0,0,0,0,0
