subfigura,prueba,medida,direccion_mejora,grupo,mes,raton,valor
c,Cruz elevada,Movimiento total,mas_es_mejor,Restriccion calorica,0,Rest10,10.3368
c,Cruz elevada,Movimiento total,mas_es_mejor,Control,2,Cont1,7.61432
c,Cruz elevada,Movimiento total,mas_es_mejor,Control,2,Cont2,6.57004
c,Cruz elevada,Movimiento total,mas_es_mejor,Control,2,Cont3,4.88217
c,Cruz elevada,Movimiento total,mas_es_mejor,Control,2,Cont4,2.21308
c,Cruz elevada,Movimiento total,mas_es_mejor,Control,2,Cont5,4.74556
c,Cruz elevada,Movimiento total,mas_es_mejor,Control,2,Cont6,8.92788
c,Cruz elevada,Movimiento total,mas_es_mejor,Control,2,Cont7,5.3205
c,Cruz elevada,Movimiento total,mas_es_mejor,Control,2,Cont8,4.79015
c,Cruz elevada,Movimiento total,mas_es_mejor,Control,2,Cont9,6.33851
c,Cruz elevada,Movimiento total,mas_es_mejor,Control,2,Cont10,3.9904
c,Cruz elevada,Movimiento total,mas_es_mejor,Semaglutida,2,Sema1,8.66511
c,Cruz elevada,Movimiento total,mas_es_mejor,Semaglutida,2,Sema2,4.54627
c,Cruz elevada,Movimiento total,mas_es_mejor,Semaglutida,2,Sema3,9.57002
c,Cruz elevada,Movimiento total,mas_es_mejor,Semaglutida,2,Sema4,10.282
c,Cruz elevada,Movimiento total,mas_es_mejor,Semaglutida,2,Sema5,8.34504
c,Cruz elevada,Movimiento total,mas_es_mejor,Semaglutida,2,Sema6,6.53831
c,Cruz elevada,Movimiento total,mas_es_mejor,Semaglutida,2,Sema7,13.8415
c,Cruz elevada,Movimiento total,mas_es_mejor,Semaglutida,2,Sema8,12.8136
c,Cruz elevada,Movimiento total,mas_es_mejor,Semaglutida,2,Sema9,10.1961
c,Cruz elevada,Movimiento total,mas_es_mejor,Semaglutida,2,Sema10,7.7062
c,Cruz elevada,Movimiento total,mas_es_mejor,Restriccion calorica,2,Rest1,9.16806
c,Cruz elevada,Movimiento total,mas_es_mejor,Restriccion calorica,2,Rest2,5.47674
c,Cruz elevada,Movimiento total,mas_es_mejor,Restriccion calorica,2,Rest3,16.2683
c,Cruz elevada,Movimiento total,mas_es_mejor,Restriccion calorica,2,Rest4,12.1024
c,Cruz elevada,Movimiento total,mas_es_mejor,Restriccion calorica,2,Rest5,8.5437
c,Cruz elevada,Movimiento total,mas_es_mejor,Restriccion calorica,2,Rest6,5.06027
c,Cruz elevada,Movimiento total,mas_es_mejor,Restriccion calorica,2,Rest7,4.6738
c,Cruz elevada,Movimiento total,mas_es_mejor,Restriccion calorica,2,Rest8,9.24108
c,Cruz elevada,Movimiento total,mas_es_mejor,Restriccion calorica,2,Rest9,9.34232
c,Cruz elevada,Movimiento total,mas_es_mejor,Restriccion calorica,2,Rest10,8.29477
c,Cruz elevada,Movimiento total,mas_es_mejor,Control,4,Cont1,4.65909
c,Cruz elevada,Movimiento total,mas_es_mejor,Control,4,Cont2,4.63222
c,Cruz elevada,Movimiento total,mas_es_mejor,Control,4,Cont3,4.6633
c,Cruz elevada,Movimiento total,mas_es_mejor,Control,4,Cont4,6.84178
c,Cruz elevada,Movimiento total,mas_es_mejor,Control,4,Cont5,3.51846
c,Cruz elevada,Movimiento total,mas_es_mejor,Control,4,Cont6,4.82163
c,Cruz elevada,Movimiento total,mas_es_mejor,Control,4,Cont7,5.54754
c,Cruz elevada,Movimiento total,mas_es_mejor,Control,4,Cont8,3.26575
c,Cruz elevada,Movimiento total,mas_es_mejor,Control,4,Cont9,3.71586
c,Cruz elevada,Movimiento total,mas_es_mejor,Control,4,Cont10,1.70178
c,Cruz elevada,Movimiento total,mas_es_mejor,Semaglutida,4,Sema1,12.4814
c,Cruz elevada,Movimiento total,mas_es_mejor,Semaglutida,4,Sema2,7.76123
c,Cruz elevada,Movimiento total,mas_es_mejor,Semaglutida,4,Sema3,8.1723
c,Cruz elevada,Movimiento total,mas_es_mejor,Semaglutida,4,Sema4,8.74678
c,Cruz elevada,Movimiento total,mas_es_mejor,Semaglutida,4,Sema5,6.72727
c,Cruz elevada,Movimiento total,mas_es_mejor,Semaglutida,4,Sema6,13.2953
c,Cruz elevada,Movimiento total,mas_es_mejor,Semaglutida,4,Sema7,14.1151
c,Cruz elevada,Movimiento total,mas_es_mejor,Semaglutida,4,Sema8,14.7403
c,Cruz elevada,Movimiento total,mas_es_mejor,Semaglutida,4,Sema9,10.7265
c,Cruz elevada,Movimiento total,mas_es_mejor,Semaglutida,4,Sema10,8.90148
c,Cruz elevada,Movimiento total,mas_es_mejor,Restriccion calorica,4,Rest1,11.0024
c,Cruz elevada,Movimiento total,mas_es_mejor,Restriccion calorica,4,Rest2,10.0341
c,Cruz elevada,Movimiento total,mas_es_mejor,Restriccion calorica,4,Rest3,7.89532
c,Cruz elevada,Movimiento total,mas_es_mejor,Restriccion calorica,4,Rest4,10.2855
c,Cruz elevada,Movimiento total,mas_es_mejor,Restriccion calorica,4,Rest5,7.8302
c,Cruz elevada,Movimiento total,mas_es_mejor,Restriccion calorica,4,Rest6,7.10869
c,Cruz elevada,Movimiento total,mas_es_mejor,Restriccion calorica,4,Rest7,8.14461
c,Cruz elevada,Movimiento total,mas_es_mejor,Restriccion calorica,4,Rest8,7.17771
c,Cruz elevada,Movimiento total,mas_es_mejor,Restriccion calorica,4,Rest9,6.81948
c,Cruz elevada,Movimiento total,mas_es_mejor,Restriccion calorica,4,Rest10,6.36653
d,Cruz elevada,Tiempo en brazos abiertos,mas_es_mejor,Control,0,Cont1,19.867
d,Cruz elevada,Tiempo en brazos abiertos,mas_es_mejor,Control,0,Cont2,127.267
d,Cruz elevada,Tiempo en brazos abiertos,mas_es_mejor,Control,0,Cont3,46.601
d,Cruz elevada,Tiempo en brazos abiertos,mas_es_mejor,Control,0,Cont4,54.867
d,Cruz elevada,Tiempo en brazos abiertos,mas_es_mejor,Control,0,Cont5,43.734
d,Cruz elevada,Tiempo en brazos abiertos,mas_es_mejor,Control,0,Cont6,57.201
d,Cruz elevada,Tiempo en brazos abiertos,mas_es_mejor,Control,0,Cont7,105.4
d,Cruz elevada,Tiempo en brazos abiertos,mas_es_mejor,Control,0,Cont8,72.867
d,Cruz elevada,Tiempo en brazos abiertos,mas_es_mejor,Control,0,Cont9,15.001
d,Cruz elevada,Tiempo en brazos abiertos,mas_es_mejor,Control,0,Cont10,76.534
d,Cruz elevada,Tiempo en brazos abiertos,mas_es_mejor,Semaglutida,0,Sema1,43.467
d,Cruz elevada,Tiempo en brazos abiertos,mas_es_mejor,Semaglutida,0,Sema2,39.001
d,Cruz elevada,Tiempo en brazos abiertos,mas_es_mejor,Semaglutida,0,Sema3,115.667
d,Cruz elevada,Tiempo en brazos abiertos,mas_es_mejor,Semaglutida,0,Sema4,39.667
d,Cruz elevada,Tiempo en brazos abiertos,mas_es_mejor,Semaglutida,0,Sema5,110.0
d,Cruz elevada,Tiempo en brazos abiertos,mas_es_mejor,Semaglutida,0,Sema6,57.134
d,Cruz elevada,Tiempo en brazos abiertos,mas_es_mejor,Semaglutida,0,Sema7,49.601
d,Cruz elevada,Tiempo en brazos abiertos,mas_es_mejor,Semaglutida,0,Sema8,80.267
