analyst_id,paper_id,disciplina,experimental,d_original,d_reanalisis,conclusion,direccion
WANJC,Platt_Boustan_AmEcoJourn_2012_PVQK,economia,observational,0.3955,0.403,sin_efecto,misma
HU8MI,Goerg_JournLabEco_2010_WLpV,economia,experimental,0.3539,,misma,misma
03LDB,Hou_ChildDev_2017_YOXl,psicologia,observational,0.1993,0.199,misma,misma
2XTEW,Sliwka_JournLabEco_2017_VDJV,economia,experimental,0.297,-0.166,misma,opuesta
BHQ9N,Cohen_AmEcoRev_2015_2lb5,economia,experimental,0.4076,0.367,misma,misma
ZAOGM,Barreca_JournPoliEco_2016_J999,economia,observational,1.1287,0.23,misma,misma
ZXD19,Christensen_EurJournPersonality_2018_8R9d,psicologia,observational,2.9392,6.835,sin_efecto,misma
Z0Z2I,Wilde_AmSocioRev_2010_4XLv,sociologia,observational,0.1053,,sin_efecto,misma
TF41T,Liu_JournMarket_2015_9DZl,marketing,experimental,0.8505,0.85,misma,misma
67DKH,Ihme_JournExpPoliSci_2018_xYbO,ciencia_politica,experimental,0.4143,0.373,misma,misma
C09RR,Fehr_AmEcoRev_2011_gdlO,economia,experimental,3.9402,0.522,misma,misma
FY4CW,Robertson_BritJournPoliSci_2017_qggQ,ciencia_politica,observational,0.1217,1.064,misma,misma
1J195,BATESON_AmPoliSciRev_2012_RYKv,ciencia_politica,observational,0.4811,0.086,misma,misma
5GT7K,Wlezien_CompPolitStu_2017_ByBk,ciencia_politica,observational,2.2095,1.827,misma,misma
XF5GJ,Wlezien_CompPolitStu_2017_ByBk,ciencia_politica,observational,2.2095,0.986,sin_efecto,misma
KNXVJ,Wlezien_CompPolitStu_2017_ByBk,ciencia_politica,observational,2.2095,,misma,misma
