sample_id,phase,phase_confidence,sex,family_id,mito_haplogroup,y_haplogroup,avg_age_cal_bc
BUR299,Unknown,Low,XY,unrelated,T2b3c,I2a1a2,"=IFERROR(-VLOOKUP(A131,'3_datesAndIsotopes '!A$2:P$20,15,FALSE),"""")"
BUR300,2,Medium,XY,unrelated,U3a1,I2a1a1,"=IFERROR(-VLOOKUP(A132,'3_datesAndIsotopes '!A$2:P$20,15,FALSE),"""")"
BUR301,2,Medium,XX,unrelated,T2b3c,,"=IFERROR(-VLOOKUP(A133,'3_datesAndIsotopes '!A$2:P$20,15,FALSE),"""")"
BUR302,1,Medium,XX,no_data,U5b,,"=IFERROR(-VLOOKUP(A134,'3_datesAndIsotopes '!A$2:P$20,15,FALSE),"""")"
BUR303,1,High,XY,pedigree_1.A,K1a+195,H2a1,"=IFERROR(-VLOOKUP(A135,'3_datesAndIsotopes '!A$2:P$20,15,FALSE),"""")"
BUR304,1,Medium,XY,no_data,H2a2a,,"=IFERROR(-VLOOKUP(A136,'3_datesAndIsotopes '!A$2:P$20,15,FALSE),"""")"
BUR305,Unknown,Low,XY,unrelated,H1,I2a1a1,"=IFERROR(-VLOOKUP(A137,'3_datesAndIsotopes '!A$2:P$20,15,FALSE),"""")"
BUR306,2,High,XX,pedigree_2.E,J1c1,,"=IFERROR(-VLOOKUP(A138,'3_datesAndIsotopes '!A$2:P$20,15,FALSE),"""")"
BUR307,2,High,XY,pedigree_2.A,K1a+195,I2a1a1,"=IFERROR(-VLOOKUP(A139,'3_datesAndIsotopes '!A$2:P$20,15,FALSE),"""")"
BUR308,1,Medium,XY,no_data,H2a2a,,"=IFERROR(-VLOOKUP(A140,'3_datesAndIsotopes '!A$2:P$20,15,FALSE),"""")"
BUR310,2,High,XY,unrelated,J2b1a,I2a1a1,"=IFERROR(-VLOOKUP(A141,'3_datesAndIsotopes '!A$2:P$20,15,FALSE),"""")"
BUR311,2,High,XY,pedigree_2.A,H2a,I2a1a1,"=IFERROR(-VLOOKUP(A142,'3_datesAndIsotopes '!A$2:P$20,15,FALSE),"""")"
BUR312,2,Medium,XY,unrelated,U3a1,I2a1a1,"=IFERROR(-VLOOKUP(A143,'3_datesAndIsotopes '!A$2:P$20,15,FALSE),"""")"
BUR313,2,High,XY,(pedigree_2.A),H2a2,,"=IFERROR(-VLOOKUP(A144,'3_datesAndIsotopes '!A$2:P$20,15,FALSE),"""")"
BUR314,2,High,XY,unrelated,U8b1b,I2a1a1,"=IFERROR(-VLOOKUP(A145,'3_datesAndIsotopes '!A$2:P$20,15,FALSE),"""")"
BUR315,1,Medium,XY,unrelated,T2c1d1,I2a1a1,"=IFERROR(-VLOOKUP(A146,'3_datesAndIsotopes '!A$2:P$20,15,FALSE),"""")"
BUR316,1,High,XY,pedigree_1.A,K1b1a,H2a1,"=IFERROR(-VLOOKUP(A147,'3_datesAndIsotopes '!A$2:P$20,15,FALSE),"""")"
BUR317,1,Medium,XX,no_data,U4,,"=IFERROR(-VLOOKUP(A148,'3_datesAndIsotopes '!A$2:P$20,15,FALSE),"""")"
BUR318,2,Medium,XX,pedigree_2.G,K1a4a1,,"=IFERROR(-VLOOKUP(A149,'3_datesAndIsotopes '!A$2:P$20,15,FALSE),"""")"
BUR319,2,Low,XY,unrelated,J2b1a,I2a1a1,"=IFERROR(-VLOOKUP(A150,'3_datesAndIsotopes '!A$2:P$20,15,FALSE),"""")"
BUR320,Unknown,Low,XY,no_data,H2a2a1,,"=IFERROR(-VLOOKUP(A151,'3_datesAndIsotopes '!A$2:P$20,15,FALSE),"""")"
BUR321,1,High,XY,pedigree_1.C,K1a4a1,H2c1,"=IFERROR(-VLOOKUP(A152,'3_datesAndIsotopes '!A$2:P$20,15,FALSE),"""")"
BUR322,1,Low,XX,unrelated,U5b2b,,"=IFERROR(-VLOOKUP(A153,'3_datesAndIsotopes '!A$2:P$20,15,FALSE),"""")"
BUR323,2,High,XY,pedigree_2.B,HV0a,I2a1a1,"=IFERROR(-VLOOKUP(A154,'3_datesAndIsotopes '!A$2:P$20,15,FALSE),"""")"
BUR324,2,Low,XX,unrelated,H1+16189,,"=IFERROR(-VLOOKUP(A155,'3_datesAndIsotopes '!A$2:P$20,15,FALSE),"""")"
BUR325,1,Low,XY,no_data,T2c1d+152,,"=IFERROR(-VLOOKUP(A156,'3_datesAndIsotopes '!A$2:P$20,15,FALSE),"""")"
BUR326,2,High,XY,pedigree_2.B,U8b1b,I2a1a1,"=IFERROR(-VLOOKUP(A157,'3_datesAndIsotopes '!A$2:P$20,15,FALSE),"""")"
BUR327,1,High,XX,pedigree_1.C,V10,,"=IFERROR(-VLOOKUP(A158,'3_datesAndIsotopes '!A$2:P$20,15,FALSE),"""")"
BUR328,1,High,XX,pedigree_1.B,W5,,"=IFERROR(-VLOOKUP(A159,'3_datesAndIsotopes '!A$2:P$20,15,FALSE),"""")"
BUR329,2,High,XY,pedigree_2.A,V10,I2a1a1,"=IFERROR(-VLOOKUP(A160,'3_datesAndIsotopes '!A$2:P$20,15,FALSE),"""")"
BUR330,1,Medium,XY,unrelated,K1b1a,I2a1a1,"=IFERROR(-VLOOKUP(A161,'3_datesAndIsotopes '!A$2:P$20,15,FALSE),"""")"
BUR331,1,High,XY,no_data,H2a2a1,,"=IFERROR(-VLOOKUP(A162,'3_datesAndIsotopes '!A$2:P$20,15,FALSE),"""")"
BUR332,1,Low,XY,no_data,H2a2a,,"=IFERROR(-VLOOKUP(A163,'3_datesAndIsotopes '!A$2:P$20,15,FALSE),"""")"
BUR333,1,High,XY,pedigree_1.A,X2b+226,H2a1,"=IFERROR(-VLOOKUP(A164,'3_datesAndIsotopes '!A$2:P$20,15,FALSE),"""")"
BUR334,1,High,XX,unrelated,U5a2b3,,"=IFERROR(-VLOOKUP(A165,'3_datesAndIsotopes '!A$2:P$20,15,FALSE),"""")"
BUR335,1,Low,XY,no_data,X2b,,"=IFERROR(-VLOOKUP(A166,'3_datesAndIsotopes '!A$2:P$20,15,FALSE),"""")"
BUR336,2,High,XY,unrelated,K1a1,I2a1a1,"=IFERROR(-VLOOKUP(A167,'3_datesAndIsotopes '!A$2:P$20,15,FALSE),"""")"
BUR337,1,High,XY,pedigree_1.A,H,H2a1,"=IFERROR(-VLOOKUP(A168,'3_datesAndIsotopes '!A$2:P$20,15,FALSE),"""")"
