numero_onda_cm1,irf_w_m2_cm,erf_w_m2_cm
588.9916684469131,-0.02289464574868663,-0.023578563568329255
595.3199865718559,-0.024111619392894787,-0.026058773288134936
601.6483046967987,-0.030311023800098445,-0.031363961996637574
607.9766228217416,-0.030084574107176257,-0.032763192094648994
614.3049409466842,-0.019661270916184963,-0.023131601920444597
620.633259071627,-0.01956385148358359,-0.024172747785361198
626.9615771965698,-0.006474617441851956,-0.011273404502135358
633.2898953215126,0.005691630270324111,-0.0009533896664816566
639.6182134464553,0.010790826017256994,0.001041006249302603
645.946531571398,0.012428880485680704,-0.001924111818325671
652.2748496963409,0.011505684517925182,-0.005410358239920577
658.6031678212837,0.011362931567161394,-0.00359618447714514
664.9314859462265,0.008897204555345636,-0.010864386318714279
671.2598040711691,0.009896603681129445,-0.010378577876098905
677.588122196112,0.012402384043660102,-0.0031088694415547843
683.9164403210548,0.011750595508671576,-0.0033397303826916335
690.2447584459976,0.01139365182077729,-0.0008000834341213609
696.5730765709403,0.007462260663093375,-0.001999078396189095
702.901394695883,0.002953317370113234,-0.0037636101730018326
709.2297128208259,-0.010680069976002593,-0.015466877989969739
715.5580309457687,-0.02143279128091589,-0.026082796294392144
721.8863490707115,-0.01569635722542885,-0.02264140178987348
728.2146671956541,-0.029253035534398127,-0.031437940451675195
734.5429853205969,-0.03081919702316395,-0.03282438326839348
740.8713034455398,-0.02700493595928047,-0.03019745513810891
747.1996215704826,-0.031306124217310806,-0.03240498669963524
753.5279396954254,-0.02604966527584895,-0.026634813875967535
759.856257820368,-0.02038924458622514,-0.020719494665825407
766.1845759453108,-0.01318183780347365,-0.0134724286343091
772.5128940702537,-0.00897974947835912,-0.00905329612653421
778.8412121951965,-0.00479826780944363,-0.004860259087167422
785.1695303201393,-0.004043345208873941,-0.004120703570289605
791.4978484450819,-0.010724315139541802,-0.01089250134036578
797.8261665700247,-0.003012266289841704,-0.003235822712568337
804.1544846949676,-0.004343618062766383,-0.004356223141685426
