id,Distribution,Upper,Weight,n_languages
tight weibull weighted,weibull,tight,weighted,4078.0
tight weibull weighted,weibull,tight,weighted,4132.0
tight weibull weighted,weibull,tight,weighted,4198.0
tight weibull weighted,weibull,tight,weighted,4430.0
tight weibull weighted,weibull,tight,weighted,4406.0
tight weibull weighted,weibull,tight,weighted,4489.0
tight weibull weighted,weibull,tight,weighted,4354.0
tight weibull weighted,weibull,tight,weighted,4604.0
tight weibull weighted,weibull,tight,weighted,4799.0
tight weibull weighted,weibull,tight,weighted,4700.0
tight weibull weighted,weibull,tight,weighted,4843.0
tight weibull weighted,weibull,tight,weighted,5022.0
tight weibull weighted,weibull,tight,weighted,2793.0
tight weibull weighted,weibull,tight,weighted,2852.0
tight weibull weighted,weibull,tight,weighted,2972.0
tight weibull weighted,weibull,tight,weighted,2967.0
tight weibull weighted,weibull,tight,weighted,3137.0
tight weibull weighted,weibull,tight,weighted,3144.0
tight weibull weighted,weibull,tight,weighted,3223.0
tight weibull weighted,weibull,tight,weighted,3293.0
tight weibull weighted,weibull,tight,weighted,3343.0
tight weibull weighted,weibull,tight,weighted,3419.0
tight weibull weighted,weibull,tight,weighted,3485.0
tight weibull weighted,weibull,tight,weighted,3462.0
tight weibull weighted,weibull,tight,weighted,3531.0
tight weibull weighted,weibull,tight,weighted,3656.0
tight weibull weighted,weibull,tight,weighted,3782.0
tight weibull weighted,weibull,tight,weighted,3856.0
tight weibull weighted,weibull,tight,weighted,3850.0
tight weibull weighted,weibull,tight,weighted,3968.0
tight weibull weighted,weibull,tight,weighted,4004.0
tight weibull weighted,weibull,tight,weighted,4040.0
tight weibull weighted,weibull,tight,weighted,4098.0
tight weibull weighted,weibull,tight,weighted,4211.0
tight weibull weighted,weibull,tight,weighted,4274.0
tight weibull weighted,weibull,tight,weighted,4379.0
tight weibull weighted,weibull,tight,weighted,4398.0
tight weibull weighted,weibull,tight,weighted,4427.0
tight weibull weighted,weibull,tight,weighted,4501.0
tight weibull weighted,weibull,tight,weighted,3800.0
tight weibull weighted,weibull,tight,weighted,3818.0
tight weibull weighted,weibull,tight,weighted,3914.0
tight weibull weighted,weibull,tight,weighted,3941.0
tight weibull weighted,weibull,tight,weighted,4115.0
tight weibull weighted,weibull,tight,weighted,4213.0
tight weibull weighted,weibull,tight,weighted,4255.0
tight weibull weighted,weibull,tight,weighted,4238.0
tight weibull weighted,weibull,tight,weighted,4372.0
tight weibull weighted,weibull,tight,weighted,4674.0
tight weibull weighted,weibull,tight,weighted,4651.0
tight weibull weighted,weibull,tight,weighted,4620.0
tight weibull weighted,weibull,tight,weighted,4882.0
tight weibull weighted,weibull,tight,weighted,4802.0
tight weibull weighted,weibull,tight,weighted,4936.0
