tipo_medida,unidad,poblacion,indicador,media,ic95_inf,ic95_sup
transactional,binary,clientes_banco,Financial Services/Other/FOREX,0.066162967626843,0.0627202950602869,0.0697805375309182
transactional,binary,clientas_banco,Financial Services/Other/FOREX,0.0653231778271448,0.0618880784214506,0.0689349319283615
transactional,binary,clientes_banco,Financial Services/Other/Leasing,0.0431816989348864,0.0403862516178962,0.0461613330694853
transactional,binary,clientas_banco,Financial Services/Other/Leasing,0.0369194964561515,0.0343237353693365,0.0397034930506181
transactional,binary,clientes_banco,Financial Services/Other/OD Charge Refund,0.005614145548035,0.0046471327099107,0.0067810113416187
transactional,binary,clientas_banco,Financial Services/Other/OD Charge Refund,0.0053422194012482,0.0043975332653964,0.0064885221482707
transactional,binary,clientes_banco,Financial Services/Other/Other,0.136680833202162,0.131876823680686,0.14163129248107
transactional,binary,clientas_banco,Financial Services/Other/Other,0.15423675023802,0.149158376750408,0.159455622805857
transactional,binary,clientes_banco,Financial Services/Other/Returned Standing Order,0.0155307203945642,0.0138694750730019,0.0173874364449148
transactional,binary,clientas_banco,Financial Services/Other/Returned Standing Order,0.0162382312493388,0.0145315376617639,0.0181416817602332
transactional,binary,clientes_banco,Financial Services/Other/Travel Money,0.0636969410777061,0.0603165403053928,0.0672532350630028
transactional,binary,clientas_banco,Financial Services/Other/Travel Money,0.0645297789061674,0.0611147954802063,0.0681217400298458
transactional,binary,clientes_banco,Financial Services/Other/Visa Sales,0.479615929482135,0.472527890074519,0.486712184856548
transactional,binary,clientas_banco,Financial Services/Other/Visa Sales,0.482703903522691,0.475584975288258,0.489829859499498
transactional,binary,clientes_banco,Financial Services/Savings/Building Society,0.169841019990556,0.164576471521259,0.175238648640326
transactional,binary,clientas_banco,Financial Services/Savings/Building Society,0.177509785253359,0.172128557626996,0.183022053272961
transactional,binary,clientes_banco,Financial Services/Savings/Internet,0.020462773492838,0.0185465489751643,0.0225724283934181
transactional,binary,clientas_banco,Financial Services/Savings/Internet,0.0217920236961811,0.0198051685443974,0.0239733252761084
transactional,binary,clientes_banco,Financial Services/Savings/Other,0.152788708746524,0.147750523889155,0.157966848701818
transactional,binary,clientas_banco,Financial Services/Savings/Other,0.166031947529885,0.160795393977,0.171404206226822
transactional,binary,clientes_banco,Financial Services/Vehicle Finance/BMW,0.0133270370953355,0.0117934127508422,0.0150570563925385
transactional,binary,clientas_banco,Financial Services/Vehicle Finance/BMW,0.012218343383053,0.0107475198499969,0.0138876268480971
transactional,binary,clientes_banco,Financial Services/Vehicle Finance/Ford,0.0056666141980166,0.0046947014012112,0.0068383532090918
transactional,binary,clientas_banco,Financial Services/Vehicle Finance/Ford,0.0051835396170527,0.0042542583033423,0.0063145217700432
transactional,binary,clientes_banco,Financial Services/Vehicle Finance/Hyundai,0.0045123038984206,0.0036540743595966,0.0055709780566403
transactional,binary,clientas_banco,Financial Services/Vehicle Finance/Hyundai,0.0050777530942557,0.0041588733241132,0.00619839054268
transactional,binary,clientes_banco,Financial Services/Vehicle Finance/Mercedes Benz,0.0064536439477412,0.0054108000137015,0.0076959239056793
transactional,binary,clientas_banco,Financial Services/Vehicle Finance/Mercedes Benz,0.0061356183222257,0.0051171423791277,0.0073553050817315
transactional,binary,clientes_banco,Financial Services/Vehicle Finance/Other,0.104097801563566,0.0998413096053644,0.108513883146756
transactional,binary,clientas_banco,Financial Services/Vehicle Finance/Other,0.0905003702528298,0.086493181803548,0.0946739693546525
transactional,binary,clientes_banco,Financial Services/Vehicle Finance/Renault,0.007922766147227,0.0067583461733216,0.0092859326217439
transactional,binary,clientas_banco,Financial Services/Vehicle Finance/Renault,0.0085687083465566,0.0073499405198766,0.0099875389797019
transactional,binary,clientes_banco,Financial Services/Vehicle Finance/Suzuki,0.0024660265491368,0.0018533205337575,0.0032806268359039
transactional,binary,clientas_banco,Financial Services/Vehicle Finance/Suzuki,0.0022744102401354,0.0016872111531372,0.0030653443733456
transactional,binary,clientes_banco,Financial Services/Vehicle Finance/Toyota,0.0093918883467128,0.0081168751645817,0.0108649890045511
transactional,binary,clientas_banco,Financial Services/Vehicle Finance/Toyota,0.0075108431185866,0.0063750615389389,0.0088471739340079
transactional,binary,clientes_banco,Financial Services/Vehicle Finance/Volkswagen,0.0226139881420851,0.0205968121083063,0.0248237118031769
transactional,binary,clientas_banco,Financial Services/Vehicle Finance/Volkswagen,0.0213159843435946,0.0193515434070143,0.0234750686475515
transactional,binary,clientes_banco,Hobbies & Interests/Camping/Other,0.159976913794008,0.154840770782671,0.165250113803744
