mjd,year,mag,magerr,filter
59394.42631939985,2021.4919,19.99577684232975,0.26582719902235846,ZTF_r
59396.40910879988,2021.4974,20.144068960716787,0.27752187218628166,ZTF_r
59400.43263889989,2021.5084,20.183266027159355,0.2417960373911748,ZTF_r
59402.403680600226,2021.5138,20.228475799955138,0.32598260293089054,ZTF_r
59404.45521989977,2021.5194,20.00753295446249,0.29822393739074865,ZTF_r
59408.44908560021,2021.5303,20.182207593413786,0.2961031419697848,ZTF_r
59410.408194399904,2021.5357,20.13400742333807,0.2608367986021527,ZTF_r
59412.427511599846,2021.5412,20.236021783062732,0.2656768218352085,ZTF_r
59415.405578699894,2021.5494,20.25075542003915,0.29333925544761486,ZTF_r
59418.38900459977,2021.5575,20.04379345734616,0.363603383746578,ZTF_r
59422.402638900094,2021.5685,20.09028940276414,0.279627088685605,ZTF_r
59424.35876160022,2021.5739,19.953340692221385,0.20821726138913194,ZTF_r
59428.38891200023,2021.5849,20.051131047341435,0.21154522392367905,ZTF_r
59430.34813660011,2021.5903,20.16972645705827,0.2565837098437277,ZTF_r
59435.365891200025,2021.6040,19.978547023378116,0.21107552714917321,ZTF_r
59438.34921299992,2021.6122,20.160437956256516,0.31436793012034747,ZTF_r
59440.30587959988,2021.6175,20.29988715896021,0.3820082205196528,ZTF_r
59443.30732640019,2021.6258,20.229542180318035,0.3103704052554156,ZTF_r
59448.27454859996,2021.6394,19.848916843090166,0.2791604193442828,ZTF_r
59453.31967590004,2021.6532,20.230826247173077,0.2869325287538848,ZTF_r
59455.26298609981,2021.6585,20.161698158358664,0.24598050923749268,ZTF_r
59459.26797450008,2021.6695,20.03704525768398,0.20517108410030563,ZTF_r
59461.30324070016,2021.6750,20.19458417454421,0.23975614603515719,ZTF_r
59463.300196799915,2021.6805,20.116072775830588,0.2792981930117853,ZTF_r
59465.34495369997,2021.6861,20.02682769449677,0.21693346009564443,ZTF_r
59467.36774310004,2021.6916,20.010088423372846,0.23093899056253656,ZTF_r
59469.36842590012,2021.6971,20.156009396288557,0.25604346143218465,ZTF_r
59471.24127310002,2021.7022,20.030277043825294,0.23644229243432766,ZTF_r
59473.42740740022,2021.7082,20.037749084412265,0.2163315287698145,ZTF_r
59476.33163189981,2021.7162,19.866097960365877,0.25361426132528603,ZTF_r
59478.24277780019,2021.7214,20.229718950668815,0.4073714173528466,ZTF_r
59480.26675930014,2021.7269,20.38986122576832,0.5060753697911563,ZTF_r
59485.243784700055,2021.7406,20.25301405379437,0.3117951937789191,ZTF_r
59487.32581020007,2021.7463,20.16726237717919,0.26241656174655204,ZTF_r
59489.28704860015,2021.7516,20.058313641592783,0.29668437201449815,ZTF_r
59497.310011600144,2021.7736,20.23092459840867,0.2499224083481386,ZTF_r
