comparacion,gen,log2fc,pvalue,padj
PRDX1_estimulado,Slc30a5,-0.1558,1.071e-03,5.438e-03
PRDX1_estimulado,Comt,-0.1557,5.418e-04,3.048e-03
PRDX1_estimulado,Scyl3,-0.1557,6.314e-04,3.476e-03
PRDX1_estimulado,Thap4,-0.1557,1.892e-03,8.775e-03
PRDX1_estimulado,Nol7,-0.1554,3.374e-05,2.822e-04
PRDX1_estimulado,Kdelr2,-0.1554,1.128e-04,8.006e-04
PRDX1_estimulado,Ddx31,-0.1553,9.840e-03,3.392e-02
PRDX1_estimulado,Cdr2,-0.1552,2.114e-02,6.244e-02
PRDX1_estimulado,Ssr4,-0.1551,8.386e-05,6.240e-04
PRDX1_estimulado,Rpl27,-0.1551,4.788e-03,1.894e-02
PRDX1_estimulado,Tulp3,-0.155,1.958e-02,5.889e-02
PRDX1_estimulado,Coro2a,-0.155,5.715e-04,3.183e-03
PRDX1_estimulado,Traf2,-0.1549,2.155e-03,9.797e-03
PRDX1_estimulado,Dnajb9,-0.1548,2.559e-02,7.277e-02
PRDX1_estimulado,Rexo2,-0.1547,3.397e-04,2.048e-03
PRDX1_estimulado,Mrps26,-0.1547,6.653e-03,2.468e-02
PRDX1_estimulado,Faap100,-0.1546,9.277e-03,3.239e-02
PRDX1_estimulado,Dgcr8,-0.1545,4.023e-03,1.638e-02
PRDX1_estimulado,Cnnm3,-0.1544,2.397e-03,1.072e-02
PRDX1_estimulado,Ptprc,-0.1544,8.162e-08,1.368e-06
PRDX1_estimulado,Fdxr,-0.1543,1.452e-02,4.629e-02
PRDX1_estimulado,Arpc4,-0.1543,7.341e-06,7.357e-05
