t_gpx_s,log,fase,voltaje_v,corriente_a,potencia_w,rapidez_odometria_mps,temp_motor_max_c,temp_cuerpo_c
-249.83,1,antes,66.8,1.7,113.56,0.001,32,40
-248.83,1,antes,66.9,1.748,116.94,0.001,32,39
-247.83,1,antes,66.93,1.833,122.68,0.0,32,40
-246.82,1,antes,67.03,1.573,105.44,0.001,32,39
-245.82,1,antes,66.57,1.476,98.26,0.001,32,40
-244.82,1,antes,67.26,1.356,91.2,0.001,32,41
-243.82,1,antes,67.16,1.253,84.15,0.001,32,40
-242.82,1,antes,67.42,1.385,93.38,0.0,32,40
-241.82,1,antes,67.09,1.401,93.99,0.0,32,40
-240.82,1,antes,67.52,1.483,100.13,0.0,32,40
-239.82,1,antes,66.74,1.588,105.98,0.001,32,40
-238.82,1,antes,66.54,1.678,111.65,0.001,32,40
-237.82,1,antes,66.83,1.764,117.89,0.0,32,40
-236.82,1,antes,66.7,1.656,110.46,0.001,32,39
-235.82,1,antes,67.19,1.602,107.64,0.001,32,40
-234.82,1,antes,66.9,1.586,106.1,0.001,32,41
-233.82,1,antes,66.74,1.457,97.24,0.001,32,39
-232.82,1,antes,66.74,1.516,101.18,0.0,32,40
-231.82,1,antes,66.9,1.423,95.2,0.001,33,39
-230.82,1,antes,66.9,1.402,93.79,0.0,33,40
-229.82,1,antes,66.96,1.579,105.73,0.001,32,40
-228.82,1,antes,67.26,1.641,110.37,0.001,32,41
-227.82,1,antes,67.48,1.778,119.98,0.0,32,40
-226.82,1,antes,66.93,1.614,108.03,0.001,32,41
-225.82,1,antes,66.77,1.593,106.36,0.001,32,40
-224.82,1,antes,67.13,1.513,101.57,0.001,32,41
-223.82,1,antes,67.32,1.49,100.31,0.0,32,41
-222.82,1,antes,66.87,1.494,99.9,0.0,32,40
-221.82,1,antes,67.29,1.399,94.14,0.001,32,39
-220.82,1,antes,66.8,1.347,89.98,0.001,32,40
-219.82,1,antes,67.26,1.407,94.63,0.001,32,41
-218.82,1,antes,67.22,1.534,103.12,0.001,33,41
-217.82,1,antes,66.93,1.674,112.04,0.0,32,40
-216.82,1,antes,67.19,1.632,109.65,0.001,32,40
-215.82,1,antes,66.96,1.536,102.85,0.0,32,40
-214.82,1,antes,66.74,1.576,105.18,0.001,33,40
-213.82,1,antes,67.16,1.535,103.09,0.001,32,40
