anio,fertilizante_molH_ha,estiercol_molH_ha,deposicion_N_molH_ha,deposicion_S_molH_ha,mineralizacion_N_suelo_molH_ha,fijacion_biologica_N_molH_ha,acidez_total_molH_ha,acidez_total_sd_molH_ha,cal_alcalinidad_mol_ha,cal_alcalinidad_sd_mol_ha,exceso_acidez_molH_ha,acidez_acumulada_Tmol,exceso_acidez_acumulado_Tmol,fraccion_acidez_neutralizada_acum
1967,239.1408572020399,247.9664174037345,139.7381076240098,432.9752031899159,59.96165346849073,165.9607022557618,1285.742941143953,95.10480186213913,816.7437704793645,84.14298508275535,468.9991706645881,16.58122474530599,8.23961704048784,0.503075486458236
1968,262.2276320804996,250.7676405722599,148.4362507520448,462.2178518634674,61.47742770449254,166.4170004647879,1351.543803437552,100.293320469306,932.9579634127273,94.69523313722446,418.585840024825,17.01907096968134,8.375222138277275,0.5078919317513082
1969,273.4344529374766,253.511505617244,153.5130645570091,474.8138575088915,82.315328368317,164.726202877046,1402.314411865984,102.976429623202,755.2920756099929,75.52920754618955,647.0223362559914,17.47336484388726,8.584831539242053,0.5086904201942938
1970,305.008284250055,253.4166525305708,171.8626411674855,479.7845412798105,83.40766463900508,166.9036626225208,1460.383446489448,107.8386560008572,794.1794221292969,80.60921146255878,666.2040243601509,17.94647076658051,8.8006550412165,0.5096163944609731
1971,310.0526329520697,254.1428412916579,179.2775822976202,458.5124092286793,84.86411269178721,175.4922304494381,1462.341808911252,106.3574427528311,642.0950032626174,66.15023258882013,820.246805648635,18.42021112049986,9.066382253309623,0.507802478809831
1972,319.7092698738889,254.8643416962287,191.4682825186366,471.1344656980269,86.32056096453924,170.5368824231466,1494.033803174467,107.8175042098511,532.3061755023957,54.83951294062394,961.7276276720711,18.90421841508054,9.377943602325963,0.5039232304444359
1973,364.9982625020693,258.0869037053695,200.1615503376175,494.7084669579309,87.59495279842183,185.4337391160375,1590.983875417447,113.3315824422356,524.5261862169028,53.2394078459975,1066.457689200544,19.41963366179457,9.723433309344617,0.4992988292835762
1974,366.9598509113343,261.3188342750691,195.3367756580531,468.4565209822741,88.14112062716707,190.0268210795027,1570.239923533401,109.5666567002478,568.4000478057418,56.84000460925968,1001.839875727659,19.928328696416372,10.04798942502533,0.4957936725104191
1975,407.0374901361673,263.0175472481841,192.5515495858133,438.8411343910994,88.3231773017509,195.5283172506294,1585.299215913645,109.1325132317972,705.97440204069,71.65640203367518,879.3248138729545,20.44190234044296,10.332855552763538,0.4945257353900641
1976,447.5241512298446,254.8811033488233,206.8654985333476,446.5539581400215,88.3231773017509,194.6687705489547,1638.816659102743,114.982769294774,968.3563683050456,99.76249422133019,670.4602907976971,20.97281349907987,10.55005791510853,0.4969650631007907
1977,433.5047133784991,259.7069176392285,213.9007855141451,451.2041504086234,87.59495279842183,199.3906023669559,1645.302122105874,114.6788374796594,884.6998369025189,89.79703316055333,760.602285203355,21.50582568876144,10.79646268421814,0.4979749747595056
1978,407.9028665148898,244.8702739477405,213.91787470861,425.8514615388691,85.77439286958924,191.8669796979853,1570.183849277684,108.9627216842254,1037.80264680451,103.780264529499,532.3812024731744,22.01450255756346,10.96893293552514,0.5017405954623051
1979,467.1172977681283,240.8401571798524,206.3225549434408,427.3726071630639,83.04355251203434,189.2598127886154,1613.955982355135,114.2279702855111,993.5017683948884,100.8404295126513,620.4542139602465,22.53735984963557,11.16993532574683,0.5043813738490117
1980,504.9012388423251,243.6069219641022,202.4977578296855,413.0046670947866,81.76916022042953,192.939493859404,1638.719239810733,117.1603151715697,976.8607521471907,100.6386365941105,661.8584876635422,23.06823944831188,11.38435104735141,0.5064924190309414
1981,499.1142448545897,246.4006152884367,202.6563969727748,393.773104150635,81.58710449671223,195.589576049194,1619.121041812343,113.565641529727,825.2122006305434,83.75903852929548,793.9088411817992,23.59277001340427,11.64154581064768,0.5065629934919251
1982,467.7621655678601,252.8338211042568,197.9486809101372,374.438476612386,80.31271217800565,189.217995418866,1562.513851791512,107.133693102656,715.9059578053004,71.5905957523115,846.6078939862111,24.09896210928828,11.91581296274843,0.5055466327259047
1983,405.6566458944794,251.8705324541469,194.1779102649407,367.9035203205281,78.49215223020872,160.8439964481178,1458.944757612421,100.2598964774855,646.3378489604623,65.60329205718868,812.6069086519589,24.57160195423306,12.179065153280211,0.5043438691557489
1984,487.8890593875714,250.8306239380408,200.335771474341,385.669130385511,77.94598388375913,179.2349890644949,1581.905558133718,109.0665509213399,744.8682095242226,76.73818514248043,837.0373486094953,25.08407618864971,12.450231830836401,0.5036599419806421
1985,500.8718353562808,249.7136522735718,196.462722353389,377.6005200179612,79.76654399262638,180.9355906602344,1585.350864654064,108.5117797710557,843.4002588898217,86.88920339133921,741.9506057642419,25.59766656480584,12.690594200580259,0.5042284745583603
1986,446.8964975502117,241.6791989980051,195.4754713528777,372.9303810117656,81.40504871326542,180.4755569759274,1518.862154602053,103.2432171723819,921.9273120259048,93.57562273504362,596.9348425761481,26.08971725383839,12.88397725361583,0.5061664667247288
1987,430.5313616538228,233.7605595560201,196.5364927710421,369.8916456343859,81.58710449671223,171.6893132720674,1483.996477384051,100.8561954346762,981.6278416507021,98.1627842743796,502.3686357333486,26.57047285565929,13.04672463171855,0.5089765732588497
1988,458.7940030631007,215.0000803714467,206.1829420324672,376.6397811895209,82.49738461968522,173.9033226391039,1513.017513915325,105.3374634861908,958.1785585384084,97.25512384791905,554.8389553769161,27.06063011448927,13.22647029821508,0.5112282957840982
1989,452.8947449490107,224.4501229744228,206.1243262937029,380.1415498150604,83.95383293713307,180.2733050003059,1527.837881969635,107.6252052388839,930.4158962037595,95.8537717831754,597.4219857658759,27.555588580782853,13.42001116619221,0.5129840494297675
1990,486.0043421211421,234.4270886520915,209.8851860676779,386.9217790989783,84.68205633281626,181.3766880787093,1583.297140351415,112.424062487107,877.1834947629916,91.72518119994038,706.1136455884239,28.06851363227134,13.64876379182999,0.5137340020692253
1991,490.7158622968236,244.9730116549554,207.9144484152927,375.749884714624,83.95383293713307,174.1115899651101,1577.418629983939,110.1271518230573,824.4836755205416,87.50769247126958,752.9349544633973,28.579534281133142,13.892684651940868,0.5138939453918199
