paso_modelo,anio,P|solo_acidez|acid_best|sin_cal,P|acidez_cal|acid_best|cal_best,PET|solo_acidez|acid_best|sin_cal,PET|acidez_cal|acid_best|cal_best,P|solo_acidez|acid_+1sd|sin_cal,P|solo_acidez|acid_-1sd|sin_cal,PET|solo_acidez|acid_+1sd|sin_cal,PET|solo_acidez|acid_-1sd|sin_cal,P|acidez_cal|acid_+1sd|cal_best,P|acidez_cal|acid_-1sd|cal_best,PET|acidez_cal|acid_+1sd|cal_best,PET|acidez_cal|acid_-1sd|cal_best,P|acidez_cal|acid_+1sd|cal_+1sd,P|acidez_cal|acid_-1sd|cal_-1sd,PET|acidez_cal|acid_+1sd|cal_+1sd,PET|acidez_cal|acid_-1sd|cal_-1sd,P|acidez_cal|acid_+1sd|cal_-1sd,P|acidez_cal|acid_-1sd|cal_+1sd,PET|acidez_cal|acid_+1sd|cal_-1sd,PET|acidez_cal|acid_-1sd|cal_+1sd
45,1944,11.9952086619407,12.6725918659619,12.147958220839952,15.01914655628675,13.168298454017451,10.822820328482551,13.36426687784825,10.923236518570802,13.866008735092,11.4802780861474,16.27390090027655,13.75276062467355,13.889832124868102,11.4560225054775,16.55187756821065,13.48042042064055,13.837074033575451,11.4996045324021,15.9950619410061,14.0231946584359
46,1945,12.1314056801674,10.9791362852333,12.193872848085451,13.909275271113952,13.30277484162455,10.961119750939451,13.40394550857605,10.970655504951,12.175603206355202,9.784726297726202,15.17533750405275,12.640202225053551,11.9694771258674,9.9890030198069,15.29463736521715,12.524377512443351,12.373702319321852,9.573929198540702,15.0494116561864,12.7478052457089
47,1946,11.0940679658714,11.14612474817775,10.4398679806374,13.593039837747702,12.1483230992035,10.0407243485014,11.438295140004351,9.41702249346955,12.22472863029125,10.068751442099453,14.659259415754551,12.51799843223925,12.15190923531575,10.13884486223925,14.9310262772244,12.247262818977202,12.28954938666075,9.99073122446145,14.3736412155003,12.78173492865455
48,1947,10.3022863883331,10.42361292658105,9.1182485421822,12.475921569823202,11.2624123747137,9.3417841119256,9.98144852067395,8.25188396377205,11.40735603901315,9.44039544601315,13.391544344429953,11.554793030728453,11.34138310513175,9.50310734635975,13.6843642064528,11.2653831743979,11.465173255581153,9.36935580401955,13.085275223216602,11.83622883656065
49,1948,10.713075642722051,9.353769417103347,9.71276823467995,11.76656420978125,11.70855887020455,9.7192163437848,10.631860639049602,8.79258173213555,10.37236857284755,8.335938975295651,12.743934407740202,10.78211033512225,10.129049571003351,8.575029311129502,12.87188868866915,10.65358675170225,10.6066026892058,8.0883833153159,12.59782907748065,10.896835725630051
50,1949,10.27605382610705,8.848053638439051,8.63305871950175,11.099586163043153,11.22156695972095,9.3311454402355,9.4447286081803,7.808900813928851,9.817707795994352,7.878568494967551,11.9771042890858,10.21572633406475,9.56103705120975,8.1305796503216,12.14296298415575,10.05111599046705,10.0649201290627,7.6165559254834,11.79775552041505,10.362576036606352
51,1950,11.12271253035825,7.3605335198509,10.2085959016719,10.420060748199,12.1381559717021,10.1074590164126,11.15733674042625,9.250195290135,8.4024058409984,6.3190293645766005,11.463030639870802,9.3654830780433,7.877453892766751,6.83823460510965,11.3285359267079,9.501636716105851,8.91665434435785,5.788766873598,11.5745283824505,9.2143763365667
52,1951,11.59600368496265,7.0852758556477005,11.1938680625682,10.479763102897602,12.6372377231288,10.5549032596385,12.23819307275925,10.144284018349,8.1557816640909,6.015388776765,11.614475233477,9.3337936502847,7.54888838379975,6.617071200227651,11.3523384207734,9.594003273780451,8.75230297906385,5.402813566358301,11.855434199478,9.0428441524033
53,1952,9.9224680141953,7.6314133390416,8.7146283517252,9.84369374218525,10.79477875135805,9.0492742484198,9.50515379691165,7.9166325095603005,8.5270177456337,6.735955541296851,10.7129443667845,8.96689818611835,8.183313589200651,7.0763369980837005,10.67952799304305,8.998613425448701,8.86354465676875,6.3885636880284,10.719044844848852,8.91660654123895
54,1953,10.409654649112602,7.7669350050851005,8.980292314608201,9.695551507034352,11.31347587140695,9.5056701031628,9.777186136888352,8.1718100824251,8.6909156634454,6.843056884458851,10.5724058377885,8.81244092218965,8.32143014338315,7.2100283970412,10.50641901890985,8.881579534222201,9.05459455247385,6.4699610714698,10.62547508504805,8.72258281799605
55,1954,10.9998716780267,6.8233959175937,9.10039454377375,8.8492000639093,11.935721865773102,10.063018667808551,9.903502058557,8.29416879308035,7.7814722011203505,5.8652737409604505,9.746794311633453,7.956464324154751,7.245024597407951,6.399277017434301,9.5419483222693,8.15437378698305,8.31221069885095,5.3255384119515,9.9280505048456,7.73417454012975
56,1955,11.7240278705814,7.9066503539874,9.76119323422065,9.776026895851702,12.7172656981663,10.73076797223225,10.6098024439128,8.901524969693451,8.92077786727175,6.89317566002225,10.72244705205775,8.83061020905705,8.44349588719785,7.368532800995601,10.5714631631004,8.978701877292451,9.39307615875425,6.412369421193101,10.8551036072313,8.65593588742405
57,1956,11.06798364524515,7.8227382325084,9.14972703680825,9.349074826917452,11.991149907807952,10.144199999812551,9.94643239720655,8.350521826786201,8.768244747093501,6.876677088199551,10.236463799705602,8.471216894723401,8.36900892825785,7.27481204019935,10.107226923512451,8.591376934768151,9.16309985149725,6.4740265898627,10.341078716141352,8.3295079946882
58,1957,13.18715734334415,7.7920515436035,12.958131139578851,10.399378892962352,14.28846686195275,12.08597367430175,14.11064660923125,11.801967533230602,8.917640865710801,6.66656621154375,11.6757997783456,9.1295461857196,8.293850217111752,7.28885927407015,11.191426842400352,9.600905767769952,9.53697934605375,6.039165842141401,12.12518165863465,8.6327894297722
59,1958,11.050238469127352,8.77610086093375,8.080079021930501,10.65417282621375,11.9536962433669,10.146115869777,8.7572804139053,7.393423698406551,9.70235411706265,7.849612127574151,11.4058240639172,9.903919655900602,9.40851532509105,8.1419690184589,11.552545478766302,9.753593202859,9.991326659793602,7.552196907986,11.2447128804569,10.0399879111322
60,1959,12.511788366118951,8.828432275722951,11.143167287773,10.13617207728525,13.525014186361602,11.4972891397957,12.089688397371102,10.19739332305545,9.86635918040305,7.790016099827551,11.189439087318602,9.0860669121756,9.41388574276275,8.239781883787002,10.8649089942465,9.3982567414477,10.3125848489844,7.3345751852203005,11.4821439217113,8.747834188419601
61,1960,11.477113222172,9.20374373378665,9.0270226843419,10.69140518008215,12.3936498672491,10.559247639827202,9.7672029118846,8.27442293629065,10.14656527278625,8.26072738233435,11.522322680798052,9.857659620094353,9.85206146206205,8.55214495645585,11.5367804484877,9.83832243552165,10.43417917623795,7.962060726208,11.484744869958451,9.857797312617
62,1961,13.0675872066374,7.58664006737195,11.9376371064017,9.33703623063615,14.1216539793095,12.013724910904202,12.943319271452202,10.923221022825851,8.66723815195895,6.507075748336151,10.463638220140352,8.21113921170865,8.038603584539551,7.1298005880670505,9.9856927484435,8.67803005592615,9.285168376712347,5.8745287407677,10.912872356136951,7.7109976895172
