reach_id,continente,n_nodos,n_marea,n_probable_marea,n_sin_marea,n_probable_sin_marea,pct_tidal,amplitud_media_m,amplitud_max_m,amplitud_mediana_m,es_tidal
12520100061,África,7,0,7,0,0,100.0,,,,sí
12520100073,África,49,0,49,0,0,100.0,,,,sí
12520100081,África,75,0,75,0,0,100.0,,,,sí
12520100091,África,55,0,55,0,0,100.0,,,,sí
12520100101,África,93,0,93,0,0,100.0,,,,sí
12520100111,África,92,0,92,0,0,100.0,,,,sí
12520100121,África,58,0,13,0,45,22.4,,,,sí
12520100131,África,94,0,0,0,94,0.0,,,,no
12520100144,África,2,0,0,2,0,0.0,,,,no
12520100151,África,6,0,0,6,0,0.0,,,,no
12540100015,África,50,50,0,0,0,100.0,1.0287,1.0917,1.0352,sí
12540100025,África,50,50,0,0,0,100.0,0.9691,1.0797,0.9222,sí
12540100035,África,50,2,48,0,0,100.0,0.9222,0.9222,0.9222,sí
12540100045,África,50,0,50,0,0,100.0,,,,sí
12540100055,África,50,0,50,0,0,100.0,,,,sí
12540100065,África,50,0,50,0,0,100.0,,,,sí
12540100075,África,50,0,50,0,0,100.0,,,,sí
12540100085,África,50,0,0,5,45,0.0,,,,no
12540100095,África,49,0,0,49,0,0.0,,,,no
12551000016,África,1,1,0,0,0,100.0,0.7688,0.7688,0.7688,sí
12551000025,África,49,49,0,0,0,100.0,0.8300,1.0138,0.7792,sí
12551000035,África,50,50,0,0,0,100.0,0.9603,1.0786,0.9591,sí
12551000046,África,1,0,1,0,0,100.0,,,,sí
12551000053,África,25,0,25,0,0,100.0,,,,sí
12551000061,África,97,0,97,0,0,100.0,,,,sí
12551000071,África,57,0,57,0,0,100.0,,,,sí
12551000081,África,57,0,57,0,0,100.0,,,,sí
12551000091,África,73,0,20,4,49,27.4,,,,sí
12551000101,África,78,0,0,78,0,0.0,,,,no
12551000111,África,98,0,0,98,0,0.0,,,,no
12551000121,África,82,0,0,82,0,0.0,,,,no
12551000131,África,66,0,0,66,0,0.0,,,,no
12551000141,África,97,0,0,97,0,0.0,,,,no
12551000151,África,97,0,0,97,0,0.0,,,,no
12551000161,África,97,0,0,97,0,0.0,,,,no
12551000171,África,56,0,0,56,0,0.0,,,,no
12551000181,África,56,0,0,56,0,0.0,,,,no
12551000191,África,56,0,0,56,0,0.0,,,,no
12551000201,África,55,0,0,55,0,0.0,,,,no
12551000214,África,2,0,0,2,0,0.0,,,,no
12551000221,África,96,0,0,96,0,0.0,,,,no
12551000331,África,93,0,0,93,0,0.0,,,,no
12551000341,África,1,0,0,1,0,0.0,,,,no
12551000351,África,1,0,0,1,0,0.0,,,,no
12551000361,África,68,0,0,68,0,0.0,,,,no
12551000371,África,64,0,0,64,0,0.0,,,,no
12551000381,África,52,0,0,52,0,0.0,,,,no
12551000391,África,52,0,0,52,0,0.0,,,,no
12551000401,África,52,0,0,52,0,0.0,,,,no
12551000411,África,52,0,0,52,0,0.0,,,,no
12551000421,África,52,0,0,52,0,0.0,,,,no
12551000431,África,52,0,0,52,0,0.0,,,,no
12551000441,África,51,0,0,51,0,0.0,,,,no
12551000466,África,1,1,0,0,0,100.0,0.6825,0.6825,0.6825,sí
12551000473,África,11,11,0,0,0,100.0,0.6693,0.6941,0.6708,sí
12551000481,África,34,13,21,0,0,100.0,0.3501,0.5691,0.3289,sí
12551000494,África,2,0,0,2,0,0.0,,,,no
12551000501,África,53,0,0,53,0,0.0,,,,no
12552000016,África,1,1,0,0,0,100.0,0.4507,0.4507,0.4507,sí
12552000023,África,9,9,0,0,0,100.0,0.4671,0.4815,0.4665,sí
12552000033,África,26,18,8,0,0,100.0,0.4994,0.5258,0.5024,sí
12552000041,África,60,0,46,11,3,76.7,,,,sí
12552000054,África,2,0,0,2,0,0.0,,,,no
12552000061,África,96,0,0,96,0,0.0,,,,no
12553100016,África,1,0,1,0,0,100.0,,,,sí
12553100023,África,8,0,8,0,0,100.0,,,,sí
12553100031,África,53,0,13,1,39,24.5,,,,sí
12553100041,África,53,0,0,53,0,0.0,,,,no
12553100051,África,53,0,0,53,0,0.0,,,,no
12553100061,África,63,0,0,63,0,0.0,,,,no
