outcome,organ,n_cases,n,beta,se,hr,ci_lower,ci_upper,p_value,outcome_label,organ_label
mi,Intestine,1671,42471,0.281065151451545,0.0327141006443861,1.32453989682108,1.24227787752286,1.41224919964698,8.57965476991988e-18,Myocardial infarction,Intestine
mi,Kidney,1671,42471,0.182824397509812,0.0327040687725957,1.20060356059373,1.12606088542327,1.28008079169585,2.26723873114196e-08,Myocardial infarction,Kidney
mi,Liver,1671,42471,0.129725796865413,0.0298741058054508,1.13851615582099,1.07376764303864,1.20716902345582,1.40924333546686e-05,Myocardial infarction,Liver
mi,Lung,1671,42471,0.12573767463035,0.0292068050083246,1.13398465631812,1.07089354494038,1.20079274624492,1.66924303999635e-05,Myocardial infarction,Lung
mi,Muscle,1671,42471,0.0777979549536154,0.0299896758576139,1.08090424525778,1.01920128880867,1.14634272959169,0.00948229234336584,Myocardial infarction,Muscle
mi,Pancreas,1671,42471,0.158440515621624,0.03049164513926,1.17168222536339,1.10371083565288,1.24383959356568,2.03409552389428e-07,Myocardial infarction,Pancreas
stroke,Organismal,1143,42867,0.193609612859918,0.0360610917025562,1.21362240788393,1.13080658697715,1.30250333335541,7.9203498606112e-08,Stroke,Organismal
stroke,Artery,1143,42867,0.16577349624469,0.0397430446168842,1.18030572776406,1.09185551921677,1.27592120612442,3.03089848535174e-05,Stroke,Artery
stroke,Brain,1143,42867,0.202496256218719,0.037575009318792,1.22445550101975,1.13752015598716,1.31803490785305,7.08032886926811e-08,Stroke,Brain
stroke,Heart,1143,42867,0.249566938294454,0.0355066380715331,1.28346947483808,1.19718768023578,1.37596963286217,2.08406443727218e-12,Stroke,Heart
stroke,Immune,1143,42867,0.110794147533423,0.0367860337848693,1.11716491203005,1.03945324212239,1.20068646678402,0.00259657809664895,Stroke,Immune
stroke,Intestine,1143,42867,0.213709420451355,0.039123124093313,1.23826278866888,1.14686198763577,1.33694790683828,4.69519143947167e-08,Stroke,Intestine
stroke,Kidney,1143,42867,0.134299078570663,0.0387894098173759,1.14373483507705,1.06000458368636,1.23407897767711,0.00053565651400225,Stroke,Kidney
stroke,Liver,1143,42867,0.112354281945663,0.0363937964071967,1.11890919976131,1.04187685162601,1.2016370220306,0.00202063675954922,Stroke,Liver
stroke,Lung,1143,42867,0.0628695630200493,0.0352974829067124,1.06488792940652,0.993707648064132,1.14116692611237,0.0748904880200223,Stroke,Lung
stroke,Muscle,1143,42867,0.121456221630899,0.0364313495309581,1.12913993293837,1.05132585708603,1.2127134318658,0.000856564948710586,Stroke,Muscle
stroke,Pancreas,1143,42867,0.232048190866206,0.0374134804120875,1.26118050474486,1.1720087027973,1.35713690670742,5.56574780987663e-10,Stroke,Pancreas
hyp,Organismal,6136,31446,0.132455266268266,0.0155140247351111,1.14162794566865,1.10743700009843,1.17687450050501,1.36829983475795e-17,,Organismal
hyp,Artery,6136,31446,0.0756749910311565,0.0164046008075538,1.07861195862332,1.04448356205272,1.11385549715957,3.96832223245914e-06,,Artery
hyp,Brain,6136,31446,0.100843781371553,0.0155968360042839,1.10610383424199,1.07280267293286,1.14043870601114,1.00860073081338e-10,,Brain
hyp,Heart,6136,31446,0.130628220357681,0.0157421789996312,1.13954404327147,1.10492130637136,1.17525168450235,1.05900242756144e-16,,Heart
hyp,Immune,6136,31446,0.0708044664934203,0.0156624625543071,1.07337132528863,1.04092173467533,1.10683249621186,6.16508775445191e-06,,Immune
hyp,Intestine,6136,31446,0.10799497183139,0.01626241394702,1.11404214378065,1.07909338061156,1.15012279791395,3.12045892990016e-11,,Intestine
hyp,Kidney,6136,31446,0.165158304068113,0.016478071568062,1.17957983621867,1.14209223852676,1.21829791244226,1.20884499923451e-23,,Kidney
hyp,Liver,6136,31446,0.085391144152623,0.0155417848338466,1.08914299530721,1.05646645406793,1.12283022301292,3.92275234449767e-08,,Liver
hyp,Lung,6136,31446,0.0542720654479575,0.0153063520926039,1.055771802113,1.02456913345633,1.087924730249,0.000391539409763376,,Lung
hyp,Muscle,6136,31446,0.0586791361787319,0.0155403947911651,1.06043493094238,1.02862249338668,1.09323123885844,0.000159424383747969,,Muscle
hyp,Pancreas,6136,31446,0.0550377548379397,0.0159697727341283,1.0565805049482,1.02402155421898,1.09017467341109,0.000568170648623808,,Pancreas
ckd,Organismal,2378,43019,0.272627944183134,0.0259599713548739,1.31341149152326,1.24825594778725,1.3819679762979,8.46960034535239e-26,Chronic kidney disease,Organismal
ckd,Artery,2378,43019,0.508514044775685,0.0318223823252725,1.66281848441831,1.56227535816168,1.76983224991573,1.76824286098871e-57,Chronic kidney disease,Artery
ckd,Brain,2378,43019,0.326997598976805,0.0274951121765248,1.38679814744179,1.31404237626023,1.46358225312447,1.28798500780299e-32,Chronic kidney disease,Brain
