masa_final_source_Msun,espin_final,masa_1_source_Msun,masa_2_source_Msun
62.716,0.6757,33.433,32.423
62.637,0.6856,34.033,31.774
61.747,0.6766,33.080,31.745
61.909,0.6792,33.997,31.010
63.522,0.6953,33.477,33.333
61.881,0.6728,32.860,32.089
62.376,0.6664,34.689,30.731
62.145,0.6778,32.739,32.515
62.028,0.6631,34.672,30.357
62.673,0.6796,34.644,31.166
62.338,0.6754,34.262,31.154
62.413,0.6789,32.790,32.753
62.889,0.6806,35.185,30.851
62.002,0.6650,32.719,32.300
61.329,0.6526,33.267,30.983
62.518,0.6843,33.327,32.356
63.448,0.6776,34.218,32.402
63.246,0.6695,34.034,32.325
62.919,0.6724,33.121,32.915
63.214,0.6796,34.019,32.366
61.806,0.6708,33.634,31.223
64.354,0.6908,34.070,33.586
62.713,0.6866,33.090,32.797
63.004,0.6886,33.601,32.621
62.016,0.6810,34.190,30.944
63.591,0.6695,34.281,32.442
62.215,0.6828,33.893,31.460
62.068,0.6730,33.122,32.022
61.858,0.6716,33.532,31.375
62.280,0.6844,33.328,32.098
60.787,0.6676,32.916,30.845
62.916,0.6727,34.010,32.022
62.107,0.6646,33.589,31.563
61.868,0.6705,32.828,32.092
61.459,0.6747,33.417,31.083
62.535,0.6834,33.605,32.086
62.065,0.6692,33.750,31.370
62.325,0.6775,34.566,30.865
61.823,0.6693,33.750,31.115
63.219,0.6777,33.288,33.095
63.449,0.6897,35.072,31.613
61.593,0.6676,33.007,31.610
62.703,0.6864,33.272,32.623
63.574,0.6812,35.143,31.617
62.886,0.6823,33.763,32.295
62.598,0.6727,33.126,32.575
62.164,0.6738,33.538,31.728
62.630,0.6804,33.215,32.565
61.446,0.6717,33.769,30.709
63.971,0.6784,34.350,32.825
62.570,0.6674,34.227,31.412
63.305,0.6771,34.847,31.614
63.044,0.6675,33.451,32.685
63.109,0.6829,34.233,32.062
62.928,0.6713,33.989,32.046
62.107,0.6566,33.948,31.130
63.033,0.6794,34.577,31.612
61.129,0.6768,32.641,31.530
62.526,0.6674,33.651,31.939
63.241,0.6779,33.341,33.065
62.749,0.6657,34.478,31.333
63.498,0.6853,34.289,32.431
62.386,0.6722,32.742,32.735
63.060,0.6897,34.634,31.639
61.923,0.6749,33.902,31.099
62.632,0.6689,33.025,32.686
63.069,0.6802,33.587,32.654
62.435,0.6662,32.902,32.577
63.187,0.6776,34.433,31.910
63.039,0.6776,33.556,32.637
62.796,0.6796,34.225,31.713
63.457,0.6882,34.252,32.437
62.823,0.6852,33.184,32.828
61.735,0.6745,32.914,31.880
62.983,0.6817,33.273,32.885
61.008,0.6756,33.263,30.769
64.096,0.6792,35.106,32.205
62.625,0.6760,33.406,32.339
61.624,0.6761,32.942,31.757
63.138,0.6769,33.461,32.826
62.547,0.6803,33.256,32.434
63.046,0.6774,34.890,31.304
64.254,0.6766,34.039,33.422
62.867,0.6854,33.073,32.986
