ssp,tipo,metrica,periodo,banda_lat,ensemble_mean,ensemble_std,n_models
ssp370,SHW,dur,hist,Subpolar,7.775098560362455,0.06659772496191639,3
ssp370,SHW,dur,hist,Temperada,8.478282629878017,0.09056855225768622,3
ssp370,SHW,dur,hist,Tropical,9.03625554262718,0.15287007032705605,3
ssp370,SHW,int,fut,Polar,5.72035556128954,2.184858880371378,3
ssp370,SHW,int,fut,Subpolar,4.749356429431747,1.6021723683042968,3
ssp370,SHW,int,fut,Temperada,3.389337556282806,0.6912805018660552,3
ssp370,SHW,int,fut,Tropical,2.106428911175641,0.051326942420951885,3
ssp370,SHW,int,hist,Polar,1.95334607463184,0.07827836530385683,3
ssp370,SHW,int,hist,Subpolar,2.084901553810032,0.08717796118984482,3
ssp370,SHW,int,hist,Temperada,1.9932480111250108,0.13142837455869688,3
ssp370,SHW,int,hist,Tropical,1.4319868166762852,0.03359150476426903,3
ssp370,SHW,tot,fut,Polar,94.90426892439092,18.565890164816828,3
ssp370,SHW,tot,fut,Subpolar,150.35228170091906,29.05102632880409,3
ssp370,SHW,tot,fut,Temperada,240.14526149929873,40.07482241146062,3
ssp370,SHW,tot,fut,Tropical,277.5570597765534,28.08820365904764,3
ssp370,SHW,tot,hist,Polar,10.682984855734967,0.3074947862583127,3
ssp370,SHW,tot,hist,Subpolar,15.5865006019807,0.3844630414122611,3
ssp370,SHW,tot,hist,Temperada,22.696100163536318,0.6280488997557399,3
ssp370,SHW,tot,hist,Tropical,28.559918193485828,0.30908934533222715,3
ssp585,LHW,count,fut,Polar,1.8278762895820477,0.687932161795144,3
ssp585,LHW,count,fut,Subpolar,2.7275887600643056,1.2712716941097824,3
ssp585,LHW,count,fut,Temperada,4.181675205051424,1.9143862106318819,3
ssp585,LHW,count,fut,Tropical,3.9046140550044997,2.262117894082079,3
ssp585,LHW,count,hist,Polar,0.8173354825770737,0.00656593872750248,3
ssp585,LHW,count,hist,Subpolar,1.3348695265487003,0.022685686299062337,3
ssp585,LHW,count,hist,Temperada,2.161893226183043,0.02496800976698767,3
ssp585,LHW,count,hist,Tropical,2.6262281093525424,0.014939493920217716,3
ssp585,LHW,cum,fut,Polar,551.202753781219,473.9583084137417,3
