year,plot,region,condition,herbi,rel_doy,rel_doy_lead,delay_day
2020,MLC,M,LC,0.185870309598441,-6.577867487930746,-23.9042783419344,-17.326410854003655
2019,JHM,J,HM,0.264672092724273,-11.996004661228568,13.422132512069254,25.418137173297822
2019,BHM,B,HM,0.538239634535355,-3.996004661228568,-5.577867487930746,-1.581862826702178
2018,NHM,N,HM,0.243560669968495,-7.178957882470456,-2.996004661228568,4.182953221241888
2018,BH2C,B,HC,0.154344449328844,10.821042117529544,-5.996004661228568,-16.81704677875811
2018,MHC,M,HC,0.220007497825411,0.8210421175295437,16.003995338771432,15.182953221241888
2017,MHC,M,HC,0.244725737438597,20.306184451473285,-11.178957882470456,-31.48514233394374
2018,MLC,M,LC,0.169069650402303,0.8210421175295437,37.00399533877143,36.18295322124189
2019,MHC,M,HC,0.278678515891948,-9.996004661228568,-0.5778674879307459,9.418137173297822
2018,THC,T,HC,0.613278988932585,7.821042117529544,-11.996004661228568,-19.81704677875811
2019,OHM,O,HM,0.126079975379856,-7.996004661228568,-5.577867487930746,2.418137173297822
2017,FLM,F,LM,0.0316545134559894,6.306184451473285,-7.178957882470456,-13.485142333943742
2018,D8H2C,D,HC,0.313616025067265,0.8210421175295437,-3.996004661228568,-4.817046778758112
2020,OHM,O,HM,0.638084483792022,2.422132512069254,0.09572165806559951,-2.3264108540036545
2019,FLM,F,LM,0.32051519624713,7.003995338771432,4.422132512069254,-2.581862826702178
2017,GHM,G,HM,0.0301480587479825,19.306184451473285,-11.178957882470456,-30.48514233394374
2019,DHM,D,HM,0.207147660360244,19.003995338771432,-0.5778674879307459,-19.581862826702178
2019,AHC,A,HC,0.0650859058485456,3.003995338771432,12.422132512069254,9.418137173297822
2019,OLC,O,LC,0.271384179174915,14.003995338771432,0.42213251206925406,-13.581862826702178
2018,NLM,N,LM,0.187441575143089,16.821042117529544,-0.996004661228568,-17.81704677875811
2019,NHC,N,HC,0.343095745857067,-3.996004661228568,-20.577867487930746,-16.581862826702178
2017,ALM,A,LM,0.322194278508581,-24.693815548526715,-7.178957882470456,17.51485766605626
